item(trolleystateobserver,init,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,'coapUpdate(transporttrolley,        ActorBasic(Resource) transporttrolley  | created  )',24)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,pather,trolleystateobserver,'coapUpdate(pather,        ActorBasic(Resource) pather  | created  )',25)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(handleDepositRequest)),30)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(moving_INDOOR)),31)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(arrived_INDOOR)),48)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(pickupDone)),52)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(moving_GLASSBOX)),53)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(arrived_GLASSBOX)),86)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(depositing)),87)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(depositDone_GLASS)),91)).
item(trolleystateobserver,handleCoapUpdate,msg(coapUpdate,dispatch,transporttrolley,trolleystateobserver,coapUpdate(transporttrolley,transporttrolley(arrived_HOME)),110)).
